Bank,Product,Province,SalesAmount,ClientAge,ClientIncome,SaleDate
Scotiabank,Credit Product,Prince Edward Island,47971,62,101454,2024-09-28
TD,Deposit Account,Ontario,593,49,106476,2021-03-03
TD,Deposit Account,Nunavut,652,50,47090,2023-11-26
Scotiabank,Deposit Account,Newfoundland and Labrador,2385,36,49557,2020-08-10
TD,Credit Product,British Columbia,26073,32,144683,2024-12-03
Scotiabank,Deposit Account,Quebec,2442,55,61138,2020-04-30
RBC,Deposit Account,Newfoundland and Labrador,1110,49,48427,2024-04-13
RBC,Investment Product,Nunavut,22943,52,44455,2024-09-27
TD,Deposit Account,Yukon,2229,49,117743,2024-11-18
RBC,Credit Product,Nova Scotia,20172,25,48368,2023-02-26
RBC,Credit Product,Newfoundland and Labrador,29438,43,99653,2024-11-18
Scotiabank,Deposit Account,Saskatchewan,1184,65,53268,2023-10-04
Scotiabank,Deposit Account,Yukon,1161,31,113546,2021-07-06
Scotiabank,Credit Product,Prince Edward Island,29910,43,110355,2023-12-14
Scotiabank,Investment Product,Manitoba,87120,44,98813,2022-09-01
TD,Investment Product,New Brunswick,94171,28,126847,2021-06-27
Scotiabank,Deposit Account,Alberta,524,34,126580,2022-08-26
TD,Investment Product,Saskatchewan,74664,28,73707,2022-03-29
TD,Credit Product,Newfoundland and Labrador,15607,43,47700,2021-06-17
Scotiabank,Credit Product,Ontario,20066,43,59144,2023-07-06
Scotiabank,Credit Product,Yukon,19221,28,135374,2020-04-25
Scotiabank,Investment Product,Yukon,31180,64,116324,2025-09-13
RBC,Investment Product,Alberta,77808,34,132568,2021-03-24
Scotiabank,Investment Product,Saskatchewan,99913,29,134890,2024-07-05
Scotiabank,Credit Product,Alberta,18831,33,56920,2020-06-29
TD,Investment Product,Saskatchewan,41970,38,76566,2022-01-09
TD,Investment Product,Nova Scotia,84562,43,138121,2021-08-14
RBC,Deposit Account,New Brunswick,1943,61,139599,2025-09-27
Scotiabank,Credit Product,Newfoundland and Labrador,33743,31,140794,2021-07-17
TD,Credit Product,Nova Scotia,26985,52,129704,2024-06-16
Scotiabank,Investment Product,Saskatchewan,84143,45,142952,2021-08-12
TD,Investment Product,British Columbia,45415,59,56145,2025-01-10
RBC,Deposit Account,New Brunswick,2235,42,102126,2024-02-28
Scotiabank,Credit Product,British Columbia,12364,45,141484,2020-08-10
TD,Deposit Account,British Columbia,1937,50,125463,2025-07-13
RBC,Credit Product,Manitoba,49344,26,104899,2025-01-03
TD,Deposit Account,British Columbia,1501,37,84352,2022-01-30
RBC,Investment Product,Nunavut,47332,49,37503,2020-11-22
RBC,Investment Product,Saskatchewan,40590,30,38790,2023-10-03
Scotiabank,Investment Product,Newfoundland and Labrador,57062,47,108258,2020-12-31
RBC,Investment Product,Alberta,78128,36,124496,2020-05-20
TD,Deposit Account,Ontario,1338,57,123765,2021-12-26
Scotiabank,Investment Product,New Brunswick,72945,36,42157,2020-01-06
Scotiabank,Deposit Account,Ontario,1496,32,38420,2024-12-31
RBC,Credit Product,Ontario,48486,51,107274,2023-06-15
TD,Credit Product,Ontario,44079,50,123670,2023-11-15
TD,Deposit Account,Saskatchewan,801,56,149690,2021-02-14
Scotiabank,Deposit Account,New Brunswick,2457,32,102343,2020-12-13
Scotiabank,Credit Product,Saskatchewan,10817,26,68017,2020-12-19
TD,Deposit Account,Yukon,1152,49,46444,2022-09-03
TD,Investment Product,Northwest Territories,96866,44,122571,2022-03-17
TD,Investment Product,Manitoba,61113,50,149761,2023-08-12
RBC,Credit Product,Manitoba,15955,50,121661,2021-03-02
Scotiabank,Investment Product,Newfoundland and Labrador,65798,60,39020,2021-09-03
Scotiabank,Credit Product,Nova Scotia,48419,25,51758,2021-11-23
Scotiabank,Investment Product,British Columbia,52070,33,124707,2025-02-06
Scotiabank,Deposit Account,British Columbia,1314,28,35833,2022-08-17
TD,Investment Product,Alberta,29516,46,85197,2023-12-18
TD,Investment Product,Ontario,38388,54,34761,2020-09-30
RBC,Deposit Account,Nunavut,1742,27,111829,2025-10-03
RBC,Deposit Account,Ontario,2203,54,105901,2024-10-01
TD,Deposit Account,Manitoba,1502,57,146302,2023-06-10
RBC,Investment Product,British Columbia,32465,41,95714,2020-07-01
RBC,Credit Product,British Columbia,49182,64,67886,2024-01-02
RBC,Deposit Account,Newfoundland and Labrador,2242,53,99924,2024-02-06
TD,Credit Product,Yukon,34302,59,95000,2020-08-07
RBC,Credit Product,British Columbia,28167,34,93834,2021-01-28
TD,Credit Product,Quebec,40144,61,106631,2025-09-10
Scotiabank,Credit Product,Ontario,37695,47,47528,2022-04-07
TD,Deposit Account,Prince Edward Island,2114,46,137849,2021-08-20
Scotiabank,Credit Product,Quebec,31326,63,74485,2023-08-07
TD,Investment Product,Newfoundland and Labrador,28762,35,124764,2025-01-09
Scotiabank,Deposit Account,Saskatchewan,2403,56,34671,2020-12-03
RBC,Credit Product,Ontario,22400,61,40296,2022-10-06
TD,Deposit Account,Northwest Territories,1483,62,147437,2025-02-19
RBC,Investment Product,Prince Edward Island,78996,27,125651,2025-04-17
Scotiabank,Deposit Account,Manitoba,508,32,72006,2020-03-27
RBC,Credit Product,Manitoba,25429,61,109369,2023-11-30
RBC,Deposit Account,Newfoundland and Labrador,1608,64,104276,2024-06-25
RBC,Credit Product,Prince Edward Island,46549,60,47555,2020-08-04
Scotiabank,Investment Product,Nova Scotia,38409,49,89784,2021-03-07
Scotiabank,Credit Product,Nova Scotia,42235,60,146505,2020-12-20
TD,Deposit Account,Nova Scotia,747,64,63677,2020-02-16
TD,Investment Product,Alberta,57881,50,122214,2020-02-09
RBC,Credit Product,Quebec,33423,44,107766,2024-11-04
RBC,Credit Product,New Brunswick,29450,52,144511,2023-08-21
TD,Deposit Account,Newfoundland and Labrador,2256,64,94796,2024-10-26
Scotiabank,Credit Product,Nova Scotia,23927,46,105426,2021-11-26
RBC,Investment Product,Newfoundland and Labrador,48626,46,55689,2023-03-03
Scotiabank,Deposit Account,New Brunswick,2057,59,143895,2020-10-14
Scotiabank,Investment Product,Saskatchewan,47890,57,116221,2022-03-19
RBC,Deposit Account,Ontario,1143,33,83545,2021-09-26
Scotiabank,Deposit Account,Nunavut,1216,43,66596,2023-03-25
Scotiabank,Investment Product,Nova Scotia,95015,48,43657,2020-10-26
RBC,Credit Product,Prince Edward Island,48171,45,83437,2022-02-23
RBC,Investment Product,New Brunswick,74279,31,92768,2025-11-27
TD,Investment Product,Yukon,73966,44,35215,2020-04-30
TD,Deposit Account,New Brunswick,853,38,46077,2023-10-14
TD,Credit Product,Manitoba,43558,25,36410,2024-05-02
Scotiabank,Deposit Account,Nova Scotia,2333,44,137074,2022-11-10
TD,Deposit Account,Saskatchewan,1562,40,125913,2022-08-02
Scotiabank,Deposit Account,Manitoba,1710,34,43871,2021-11-13
Scotiabank,Credit Product,Nova Scotia,16083,47,57906,2023-07-13
TD,Deposit Account,Ontario,1145,62,31866,2025-08-06
RBC,Credit Product,Northwest Territories,43212,49,67623,2021-07-02
Scotiabank,Investment Product,Nunavut,81117,63,116028,2024-03-28
RBC,Credit Product,British Columbia,23223,43,37605,2020-11-23
RBC,Deposit Account,Alberta,1829,43,99781,2020-01-13
RBC,Credit Product,Ontario,49995,62,120818,2025-07-06
RBC,Credit Product,Yukon,43186,44,79628,2020-12-14
RBC,Credit Product,Saskatchewan,41609,32,133267,2024-07-14
Scotiabank,Credit Product,Northwest Territories,14299,43,48889,2020-04-14
Scotiabank,Credit Product,Northwest Territories,20659,40,72017,2024-12-28
RBC,Investment Product,Nunavut,26045,26,106774,2020-09-30
Scotiabank,Credit Product,Newfoundland and Labrador,18254,25,107956,2025-03-01
Scotiabank,Deposit Account,Yukon,1639,47,128588,2020-08-16
RBC,Credit Product,Nunavut,38433,39,148972,2021-08-13
RBC,Credit Product,Alberta,39161,49,74865,2022-06-25
TD,Investment Product,Saskatchewan,66546,50,146804,2021-01-24
Scotiabank,Deposit Account,Yukon,1756,38,131530,2021-07-19
RBC,Investment Product,Alberta,71645,36,147459,2023-12-16
TD,Credit Product,Quebec,16609,36,81163,2021-11-20
TD,Investment Product,Alberta,72815,26,103282,2020-01-06
Scotiabank,Deposit Account,Saskatchewan,2112,53,109205,2024-08-02
Scotiabank,Investment Product,Nunavut,23651,42,50722,2022-12-30
RBC,Investment Product,Manitoba,49227,50,109558,2025-06-19
Scotiabank,Investment Product,Alberta,85431,46,40881,2022-02-12
RBC,Credit Product,Quebec,29106,43,133655,2023-01-25
Scotiabank,Credit Product,Quebec,11215,35,99462,2020-07-21
Scotiabank,Deposit Account,Yukon,2083,64,128827,2020-08-18
RBC,Credit Product,Nova Scotia,11696,51,133564,2024-09-29
RBC,Deposit Account,Nova Scotia,598,30,43318,2023-05-23
TD,Deposit Account,Nova Scotia,1182,40,94004,2024-10-10
TD,Credit Product,British Columbia,38440,64,148891,2024-07-30
Scotiabank,Credit Product,Nova Scotia,20349,34,128483,2025-07-07
TD,Investment Product,Saskatchewan,56806,29,94777,2020-04-07
Scotiabank,Deposit Account,Newfoundland and Labrador,2130,32,73869,2021-04-03
RBC,Investment Product,Ontario,64483,65,72733,2023-01-20
TD,Deposit Account,Yukon,2332,47,114040,2025-07-17
TD,Deposit Account,Newfoundland and Labrador,869,61,112409,2023-07-24
TD,Deposit Account,New Brunswick,1406,58,79137,2025-09-13
RBC,Credit Product,New Brunswick,42929,44,123882,2021-08-26
TD,Credit Product,Saskatchewan,28569,43,66695,2025-12-08
Scotiabank,Credit Product,Prince Edward Island,24746,38,63470,2021-10-02
TD,Investment Product,British Columbia,91525,47,140669,2022-07-18
TD,Deposit Account,Manitoba,1454,34,122897,2023-12-31
Scotiabank,Investment Product,Quebec,55499,42,61717,2025-08-14
Scotiabank,Investment Product,Northwest Territories,95414,47,31626,2024-02-13
RBC,Deposit Account,Prince Edward Island,1401,34,32942,2022-06-03
Scotiabank,Deposit Account,Northwest Territories,1538,52,79961,2020-06-06
Scotiabank,Credit Product,Northwest Territories,43325,48,63181,2024-03-28
TD,Credit Product,Manitoba,47315,36,126760,2021-03-24
TD,Deposit Account,Prince Edward Island,523,41,101943,2020-05-12
RBC,Deposit Account,Saskatchewan,2319,52,60307,2023-05-24
Scotiabank,Credit Product,Nova Scotia,18242,53,139587,2021-06-02
Scotiabank,Deposit Account,Quebec,1360,38,126669,2022-06-03
TD,Deposit Account,Newfoundland and Labrador,1440,57,139535,2020-07-20
TD,Investment Product,Manitoba,41322,57,48096,2024-05-12
TD,Credit Product,Yukon,25237,54,95843,2022-04-14
RBC,Credit Product,Newfoundland and Labrador,35707,43,133741,2021-04-15
RBC,Investment Product,Manitoba,99631,62,62019,2021-08-26
Scotiabank,Credit Product,Alberta,34682,61,79914,2021-10-23
TD,Credit Product,Nova Scotia,44149,56,93951,2024-06-10
RBC,Credit Product,Prince Edward Island,12286,26,87774,2021-08-11
RBC,Deposit Account,Alberta,2019,58,130783,2021-10-10
RBC,Investment Product,Nova Scotia,82581,47,142030,2023-07-10
Scotiabank,Credit Product,Nova Scotia,15011,58,143021,2020-04-07
Scotiabank,Investment Product,Newfoundland and Labrador,93089,33,54154,2022-04-26
TD,Deposit Account,Ontario,1268,62,103374,2020-02-14
TD,Investment Product,Quebec,66692,65,33510,2023-06-06
Scotiabank,Deposit Account,Northwest Territories,1692,35,110400,2023-10-30
Scotiabank,Credit Product,New Brunswick,31688,56,35911,2024-05-20
Scotiabank,Credit Product,Nunavut,35586,27,50390,2021-03-01
RBC,Credit Product,Prince Edward Island,45899,28,149231,2022-09-16
Scotiabank,Investment Product,Newfoundland and Labrador,23335,54,148212,2025-05-14
RBC,Deposit Account,Northwest Territories,823,63,63957,2022-07-28
RBC,Investment Product,British Columbia,31784,26,141178,2022-07-15
Scotiabank,Credit Product,Alberta,22797,61,104919,2024-12-26
Scotiabank,Deposit Account,Newfoundland and Labrador,1956,57,57695,2023-02-08
Scotiabank,Investment Product,Saskatchewan,39294,29,95919,2020-02-24
RBC,Deposit Account,Newfoundland and Labrador,1159,50,30936,2023-12-08
Scotiabank,Deposit Account,Ontario,1596,25,57916,2020-04-03
RBC,Deposit Account,Newfoundland and Labrador,558,39,124674,2025-01-05
TD,Deposit Account,Prince Edward Island,653,51,31512,2022-05-18
TD,Deposit Account,Prince Edward Island,1054,45,37974,2021-11-10
TD,Investment Product,Nunavut,45913,62,136813,2020-04-11
RBC,Deposit Account,Quebec,2009,59,46404,2024-09-19
RBC,Credit Product,British Columbia,20279,38,106130,2025-09-13
Scotiabank,Deposit Account,Prince Edward Island,1676,57,62710,2022-05-25
TD,Investment Product,Yukon,58949,50,132106,2023-06-21
RBC,Credit Product,Alberta,35705,49,111209,2025-04-26
RBC,Investment Product,Saskatchewan,40362,41,77055,2022-04-30
Scotiabank,Credit Product,Newfoundland and Labrador,26467,43,91512,2023-06-01
Scotiabank,Credit Product,Alberta,21648,65,114243,2025-06-06
TD,Credit Product,Prince Edward Island,33942,60,61408,2022-01-10
TD,Deposit Account,Yukon,1922,54,149072,2022-07-16
RBC,Deposit Account,Yukon,1021,46,113663,2024-12-26
RBC,Deposit Account,Manitoba,2451,36,148699,2023-01-14
Scotiabank,Investment Product,Yukon,69660,43,75673,2022-04-18
TD,Deposit Account,Ontario,834,57,50440,2023-03-06
RBC,Deposit Account,Saskatchewan,2467,33,58843,2021-11-24
TD,Credit Product,British Columbia,47259,54,56535,2022-05-29
RBC,Deposit Account,New Brunswick,829,47,135691,2020-08-09
TD,Deposit Account,Manitoba,1872,46,54077,2024-05-16
Scotiabank,Investment Product,New Brunswick,96908,42,148339,2025-01-31
RBC,Investment Product,Newfoundland and Labrador,99875,45,64906,2023-12-21
TD,Investment Product,Newfoundland and Labrador,27459,53,81985,2021-05-28
Scotiabank,Deposit Account,Alberta,1865,63,134757,2022-02-25
TD,Credit Product,Prince Edward Island,47813,52,84738,2025-05-03
RBC,Credit Product,Prince Edward Island,36088,35,128646,2020-10-19
RBC,Credit Product,Alberta,34183,63,137875,2023-03-25
TD,Credit Product,Nova Scotia,36315,25,79564,2021-02-01
TD,Credit Product,Alberta,47236,56,119116,2021-02-19
Scotiabank,Deposit Account,Saskatchewan,593,48,69058,2023-03-26
TD,Credit Product,Ontario,44686,39,34421,2023-09-30
TD,Credit Product,Northwest Territories,26758,56,118677,2024-09-01
TD,Deposit Account,Quebec,2444,62,107368,2025-04-09
Scotiabank,Deposit Account,Saskatchewan,1403,26,127694,2021-03-10
RBC,Credit Product,British Columbia,26347,52,128072,2025-02-10
Scotiabank,Investment Product,British Columbia,87520,63,148603,2025-03-02
Scotiabank,Investment Product,Nunavut,92556,58,51242,2024-12-29
Scotiabank,Investment Product,British Columbia,65861,27,31171,2023-08-18
RBC,Credit Product,Yukon,26712,39,71580,2024-11-09
Scotiabank,Investment Product,Manitoba,40578,50,80910,2020-07-03
RBC,Investment Product,New Brunswick,58458,41,73969,2020-07-25
TD,Deposit Account,Nunavut,1497,39,94887,2022-08-05
TD,Deposit Account,Northwest Territories,762,57,60378,2020-02-23
Scotiabank,Credit Product,New Brunswick,35813,36,63504,2020-10-18
Scotiabank,Deposit Account,Manitoba,1548,32,106704,2025-05-27
RBC,Deposit Account,Nova Scotia,1551,45,105948,2024-03-01
TD,Credit Product,New Brunswick,43913,33,147568,2021-11-15
Scotiabank,Credit Product,Quebec,39915,25,145214,2023-12-01
TD,Deposit Account,Northwest Territories,1155,57,84980,2021-10-02
Scotiabank,Investment Product,Northwest Territories,43691,28,37156,2022-12-07
RBC,Credit Product,Manitoba,22815,55,131512,2023-07-08
RBC,Investment Product,Yukon,29040,32,100776,2022-11-16
Scotiabank,Credit Product,British Columbia,46381,29,115893,2025-12-08
RBC,Investment Product,Manitoba,44768,61,145985,2023-10-13
Scotiabank,Deposit Account,Saskatchewan,610,57,86531,2024-09-22
Scotiabank,Credit Product,Nova Scotia,43644,50,45430,2021-02-19
TD,Deposit Account,Northwest Territories,2211,59,108613,2021-01-21
TD,Credit Product,Newfoundland and Labrador,48829,39,138223,2025-04-07
TD,Investment Product,Alberta,43836,30,40451,2020-01-08
Scotiabank,Deposit Account,Prince Edward Island,1884,30,128640,2021-06-18
Scotiabank,Credit Product,Prince Edward Island,14098,53,105559,2025-05-19
TD,Credit Product,Saskatchewan,47792,40,51783,2024-09-19
RBC,Deposit Account,Nunavut,2420,49,42220,2022-11-12
Scotiabank,Credit Product,Northwest Territories,28204,61,60433,2023-11-30
Scotiabank,Credit Product,Alberta,30571,64,56158,2024-12-27
TD,Deposit Account,Newfoundland and Labrador,899,38,103192,2020-11-30
TD,Credit Product,Ontario,12567,62,114649,2024-04-03
Scotiabank,Deposit Account,Nova Scotia,813,50,66459,2021-04-26
TD,Investment Product,Yukon,96108,53,119759,2025-04-26
RBC,Deposit Account,Northwest Territories,2422,45,130807,2024-12-27
Scotiabank,Deposit Account,Ontario,851,34,32351,2023-05-06
RBC,Credit Product,Saskatchewan,27441,30,90738,2024-11-06
Scotiabank,Deposit Account,Nunavut,1525,50,94888,2025-01-15
RBC,Deposit Account,Manitoba,1629,36,69198,2025-09-03
TD,Credit Product,Manitoba,20571,56,40917,2021-04-06
RBC,Deposit Account,Quebec,1129,25,149207,2020-09-18
Scotiabank,Deposit Account,Newfoundland and Labrador,1134,47,43196,2021-01-17
Scotiabank,Investment Product,Saskatchewan,47547,37,131847,2025-04-24
RBC,Deposit Account,British Columbia,1973,29,87934,2024-10-07
Scotiabank,Deposit Account,Nunavut,1184,48,149080,2024-08-09
Scotiabank,Credit Product,Saskatchewan,30356,63,60983,2023-07-16
Scotiabank,Credit Product,Alberta,16696,48,127936,2020-12-12
TD,Credit Product,Manitoba,30322,26,36652,2022-04-03
RBC,Investment Product,Prince Edward Island,82511,30,142524,2020-07-31
RBC,Credit Product,British Columbia,35190,45,39566,2023-11-26
Scotiabank,Credit Product,Northwest Territories,39626,51,100393,2023-07-13
RBC,Deposit Account,Quebec,1042,60,132750,2020-08-15
TD,Investment Product,Nova Scotia,69420,56,44185,2024-11-08
Scotiabank,Credit Product,New Brunswick,28948,57,42639,2020-01-02
RBC,Investment Product,Saskatchewan,82868,54,72679,2023-06-06
RBC,Credit Product,Quebec,24575,42,70066,2022-11-28
Scotiabank,Investment Product,Newfoundland and Labrador,36271,25,130650,2025-12-15
Scotiabank,Investment Product,Nova Scotia,76787,53,72882,2022-07-05
Scotiabank,Deposit Account,Quebec,1110,35,130619,2024-05-27
Scotiabank,Credit Product,Alberta,46898,61,96942,2024-08-03
TD,Deposit Account,Nova Scotia,2140,31,80567,2020-04-08
RBC,Deposit Account,Nunavut,2203,34,36377,2022-08-12
Scotiabank,Investment Product,Quebec,58593,35,131928,2022-10-31
RBC,Deposit Account,New Brunswick,1691,28,56098,2020-10-28
RBC,Investment Product,Nova Scotia,32701,42,60284,2022-04-02
TD,Deposit Account,New Brunswick,1311,32,40232,2025-01-26
RBC,Investment Product,Prince Edward Island,63983,48,139031,2022-05-17
TD,Credit Product,Manitoba,13479,59,95751,2021-10-08
TD,Deposit Account,British Columbia,550,57,41159,2021-12-07
Scotiabank,Investment Product,Manitoba,27795,40,72416,2024-02-01
Scotiabank,Deposit Account,Ontario,1553,61,54667,2025-05-16
Scotiabank,Investment Product,Prince Edward Island,80776,54,83242,2020-01-13
Scotiabank,Investment Product,Prince Edward Island,38434,37,83837,2022-04-18
Scotiabank,Deposit Account,Northwest Territories,564,60,57017,2022-03-24
RBC,Deposit Account,Manitoba,677,25,69661,2020-01-29
TD,Credit Product,Northwest Territories,24481,27,50761,2024-12-07
Scotiabank,Credit Product,Prince Edward Island,17960,35,58144,2025-05-12
RBC,Credit Product,Nunavut,23542,51,78149,2023-01-21
RBC,Investment Product,Ontario,44813,57,114977,2020-05-09
Scotiabank,Credit Product,British Columbia,46131,48,56922,2021-01-10
RBC,Investment Product,Saskatchewan,80259,47,72006,2025-09-07
TD,Investment Product,New Brunswick,62246,64,113508,2020-02-01
TD,Investment Product,British Columbia,90438,56,40796,2020-05-23
RBC,Credit Product,Northwest Territories,43645,53,88385,2023-11-22
Scotiabank,Credit Product,Saskatchewan,18335,45,87605,2022-06-10
RBC,Credit Product,Ontario,40840,40,61480,2021-06-03
RBC,Credit Product,British Columbia,48002,33,99305,2020-05-22
Scotiabank,Investment Product,Northwest Territories,28194,25,87017,2023-05-11
TD,Credit Product,Prince Edward Island,34427,33,83937,2020-10-16
Scotiabank,Investment Product,Manitoba,62986,44,135913,2021-08-27
Scotiabank,Investment Product,Manitoba,44560,61,57925,2020-05-23
Scotiabank,Credit Product,Yukon,41070,32,103374,2024-02-13
Scotiabank,Deposit Account,Saskatchewan,1831,31,36435,2024-08-10
RBC,Investment Product,Quebec,98465,48,129884,2025-05-24
Scotiabank,Deposit Account,Quebec,769,25,64631,2021-08-05
RBC,Credit Product,Yukon,40192,47,103107,2022-11-10
Scotiabank,Deposit Account,Nunavut,655,47,89252,2020-09-01
RBC,Investment Product,Nova Scotia,52184,34,68591,2025-07-10
TD,Deposit Account,Nunavut,1270,42,91013,2023-05-04
RBC,Investment Product,Quebec,75332,25,110912,2023-10-21
Scotiabank,Credit Product,Northwest Territories,28020,65,32761,2020-03-04
Scotiabank,Deposit Account,Yukon,1036,31,143319,2021-01-25
RBC,Credit Product,Quebec,30414,46,61823,2023-01-22
RBC,Deposit Account,Prince Edward Island,2265,47,82483,2025-10-09
Scotiabank,Investment Product,Northwest Territories,43946,31,93689,2023-06-11
Scotiabank,Deposit Account,Ontario,1849,32,34221,2024-06-16
TD,Credit Product,Northwest Territories,35341,34,47621,2024-07-05
RBC,Credit Product,Newfoundland and Labrador,20680,65,141107,2022-11-04
Scotiabank,Deposit Account,Newfoundland and Labrador,1975,58,47152,2022-01-28
Scotiabank,Credit Product,Alberta,48320,47,79657,2023-06-20
RBC,Deposit Account,Nova Scotia,825,39,141751,2021-07-01
Scotiabank,Deposit Account,Manitoba,1481,55,118166,2024-12-28
Scotiabank,Investment Product,Northwest Territories,52409,64,145039,2024-11-20
TD,Credit Product,Saskatchewan,21319,29,32384,2025-03-27
Scotiabank,Investment Product,Saskatchewan,52465,47,122586,2024-11-02
Scotiabank,Deposit Account,Manitoba,1790,32,77958,2020-03-17
RBC,Deposit Account,Yukon,1369,57,68360,2020-08-01
Scotiabank,Credit Product,British Columbia,15810,52,66227,2021-02-23
Scotiabank,Investment Product,Prince Edward Island,41752,44,39586,2023-03-05
Scotiabank,Investment Product,Prince Edward Island,37171,37,79417,2020-01-04
TD,Investment Product,Northwest Territories,22151,46,120300,2021-12-12
TD,Investment Product,Northwest Territories,33447,27,112448,2023-01-30
TD,Credit Product,Quebec,38403,25,108919,2024-06-10
Scotiabank,Credit Product,Yukon,30434,39,54968,2020-08-28
RBC,Credit Product,Newfoundland and Labrador,11062,43,84867,2020-04-30
TD,Deposit Account,Ontario,1885,56,50837,2021-01-11
RBC,Credit Product,Alberta,28009,39,139897,2025-01-10
RBC,Deposit Account,Newfoundland and Labrador,1083,34,127807,2020-03-29
RBC,Credit Product,Alberta,38347,49,103164,2023-05-13
TD,Deposit Account,Nova Scotia,1642,34,104852,2022-02-28
RBC,Deposit Account,Quebec,2284,45,81486,2023-03-20
RBC,Investment Product,Ontario,83763,56,74253,2025-07-03
Scotiabank,Investment Product,Nunavut,75281,57,65666,2022-01-24
Scotiabank,Credit Product,Ontario,12894,49,84502,2020-05-28
RBC,Investment Product,Quebec,24941,53,111852,2025-07-28
RBC,Investment Product,Alberta,29843,33,124067,2021-04-09
TD,Investment Product,Quebec,92132,58,38481,2024-04-13
RBC,Credit Product,Northwest Territories,25939,48,119701,2023-04-07
RBC,Deposit Account,Ontario,1129,60,136410,2025-01-26
RBC,Investment Product,Alberta,76535,58,60674,2022-01-18
RBC,Deposit Account,Nova Scotia,1899,34,106358,2024-12-21
Scotiabank,Investment Product,Newfoundland and Labrador,88718,33,90473,2023-01-05
Scotiabank,Credit Product,Northwest Territories,35576,44,128351,2022-11-22
Scotiabank,Deposit Account,Alberta,1634,63,106073,2025-12-29
RBC,Deposit Account,Manitoba,506,31,79971,2021-11-21
TD,Deposit Account,Quebec,2034,30,62873,2023-06-08
Scotiabank,Deposit Account,Northwest Territories,2117,48,115691,2024-01-04
Scotiabank,Credit Product,Quebec,36078,62,100670,2024-05-23
Scotiabank,Deposit Account,Alberta,2225,53,68517,2022-11-17
RBC,Credit Product,British Columbia,41240,29,65211,2020-07-16
TD,Credit Product,Alberta,46301,64,129149,2020-06-26
Scotiabank,Investment Product,Ontario,40492,26,43837,2021-01-08
TD,Credit Product,Newfoundland and Labrador,39431,40,130079,2020-08-23
Scotiabank,Investment Product,Manitoba,31947,62,78733,2021-05-20
TD,Deposit Account,Nova Scotia,510,25,30338,2023-05-29
TD,Investment Product,Ontario,62103,53,50070,2025-09-24
Scotiabank,Deposit Account,Newfoundland and Labrador,701,52,42051,2024-01-23
RBC,Deposit Account,Manitoba,2005,30,108652,2022-03-06
Scotiabank,Deposit Account,Prince Edward Island,642,58,92780,2022-06-04
TD,Credit Product,Ontario,42130,29,56187,2025-12-28
RBC,Investment Product,Nova Scotia,52225,26,64994,2020-04-24
TD,Investment Product,Northwest Territories,29425,25,146135,2021-12-11
TD,Credit Product,Ontario,39741,54,55426,2023-08-17
TD,Credit Product,Ontario,29617,65,96517,2021-07-02
RBC,Investment Product,Nunavut,99521,26,108413,2022-03-22
TD,Credit Product,Ontario,47173,50,132933,2024-02-06
RBC,Investment Product,Quebec,85845,38,126700,2021-01-22
RBC,Investment Product,British Columbia,97874,44,124047,2020-10-13
Scotiabank,Credit Product,British Columbia,38450,55,93249,2022-11-01
TD,Investment Product,Nova Scotia,39330,49,72046,2022-07-27
Scotiabank,Investment Product,Manitoba,65297,47,127112,2023-07-30
TD,Investment Product,Prince Edward Island,37182,48,85273,2025-02-25
Scotiabank,Investment Product,Quebec,72206,39,134334,2022-07-02
RBC,Credit Product,Alberta,33418,35,105101,2022-05-11
RBC,Investment Product,Ontario,80392,30,70823,2020-12-29
RBC,Deposit Account,Ontario,902,53,146700,2023-04-08
RBC,Credit Product,Manitoba,41730,54,54362,2022-12-29
Scotiabank,Investment Product,Nova Scotia,35749,57,30569,2024-12-04
RBC,Credit Product,Newfoundland and Labrador,25683,28,35535,2023-06-01
TD,Investment Product,Yukon,55605,39,52217,2020-08-24
RBC,Investment Product,Ontario,37941,42,93989,2024-02-17
Scotiabank,Investment Product,Alberta,77082,31,87817,2024-04-19
RBC,Credit Product,Northwest Territories,29167,42,108828,2022-10-01
TD,Investment Product,Northwest Territories,42681,33,68474,2024-06-14
Scotiabank,Deposit Account,Yukon,1431,25,125018,2025-04-26
TD,Deposit Account,Nova Scotia,2315,54,35420,2023-04-17
TD,Deposit Account,Ontario,1271,44,145436,2021-07-02
RBC,Deposit Account,Ontario,2365,50,45388,2023-08-02
Scotiabank,Credit Product,Manitoba,37394,44,30731,2021-02-16
Scotiabank,Credit Product,Newfoundland and Labrador,33805,35,75540,2021-10-21
RBC,Deposit Account,Nunavut,1700,36,91531,2023-07-13
RBC,Investment Product,Northwest Territories,56920,36,37146,2025-01-25
TD,Credit Product,Ontario,31167,61,146754,2024-07-17
Scotiabank,Deposit Account,British Columbia,644,31,42072,2023-09-25
TD,Deposit Account,Alberta,900,37,78121,2025-02-14
RBC,Investment Product,Nunavut,69012,56,102886,2022-06-05
Scotiabank,Investment Product,Prince Edward Island,61052,30,88348,2024-04-30
RBC,Investment Product,Northwest Territories,35240,37,117299,2025-04-07
Scotiabank,Investment Product,Prince Edward Island,46898,27,42997,2023-06-05
TD,Investment Product,Ontario,44355,47,97871,2025-09-09
Scotiabank,Deposit Account,Alberta,816,52,91110,2022-06-25
Scotiabank,Deposit Account,Newfoundland and Labrador,633,48,40216,2020-04-23
